Node From,Node To
Sexagesimal,Radix
Sexagesimal,Time
Sexagesimal,Angle
Sexagesimal,Numeral_system
Sexagesimal,Hindu–Arabic_numeral_system
Sexagesimal,Eastern_Arabic_numerals
Sexagesimal,Arabic_numerals
Eastern_Arabic_numerals,Arabic_numerals
Eastern_Arabic_numerals,Numeral_system
Eastern_Arabic_numerals,Hindu–Arabic_numeral_system
Eastern_Arabic_numerals,Arabic_numerals
Eastern_Arabic_numerals,Eastern_Arabic_numerals
Eastern_Arabic_numerals,Devanagari_numerals
Devanagari_numerals,Decimal
Devanagari_numerals,Numeral_system
Devanagari_numerals,Hindu–Arabic_numeral_system
Devanagari_numerals,Arabic_numerals
Devanagari_numerals,Eastern_Arabic_numerals
Devanagari_numerals,Tamil_numerals
Devanagari_numerals,Devanagari_numerals
Tamil_numerals,Numeral_system
Tamil_numerals,Hindu–Arabic_numeral_system
Tamil_numerals,Arabic_numerals
Tamil_numerals,Eastern_Arabic_numerals
Tamil_numerals,Devanagari_numerals
Tamil_numerals,Tamil_numerals
Tamil_numerals,Burmese_numerals
Burmese_numerals,Arabic_numerals
Burmese_numerals,Hindu–Arabic_numeral_system
Burmese_numerals,Numeral_system
Burmese_numerals,Hindu–Arabic_numeral_system
Burmese_numerals,Arabic_numerals
Burmese_numerals,Eastern_Arabic_numerals
Burmese_numerals,Devanagari_numerals
Burmese_numerals,Tamil_numerals
Burmese_numerals,Burmese_numerals
Burmese_numerals,Chinese_numerals
Chinese_numerals,Number
Chinese_numerals,Numeral_system
Chinese_numerals,Hindu–Arabic_numeral_system
Chinese_numerals,Arabic_numerals
Chinese_numerals,Eastern_Arabic_numerals
Chinese_numerals,Devanagari_numerals
Chinese_numerals,Tamil_numerals
